rho_Lorenz;lambda_1;lambda_2;lambda_3
0.0;-1.0326967530450675;-2.65640534517118;-10.031942721166297
1.0;-0.0900082118853711;-2.6143370398853443;-11.026546877855735
2.0;-1.211759653344058;-1.227100164363603;-11.289755030730957
3.0;-1.0989077742740903;-1.1221275784660218;-11.504992767066955
4.0;-0.99930449863804;-1.0285032649884753;-11.695617855038336
5.0;-0.9110444967535589;-0.9423082346931494;-11.867466597196904
6.0;-0.8270762195054098;-0.8668001873858415;-12.0243374702283
7.0;-0.7517096228857008;-0.7949698892658796;-12.168932515756929
8.0;-0.6846833173204897;-0.7250461292182849;-12.303287344663245
9.0;-0.6165077082956683;-0.6648620962139263;-12.429065221860569
10.0;-0.5570612481090371;-0.6032327115195323;-12.54757529201007
11.0;-0.49691184470903005;-0.5485957953098372;-12.659841834703904
12.0;-0.44151463863040563;-0.49356128158988133;-12.767794312203316
13.0;-0.38551405722636095;-0.4406270146711703;-12.874394079120584
13.926667;-0.3142994295293641;-0.38588566571134864;-12.999217701736653
14.0;-0.32477752411967936;-0.37956094574450944;-12.994500211867292
15.0;-0.2970697139028866;-0.3381064809992371;-13.06027968503756
16.0;-0.2517263342352318;-0.30137832846585216;-13.139533038125178
17.0;-0.21283268858338172;-0.2594187335201197;-13.217650160343902
18.0;-0.16957482352216832;-0.22409428629362518;-13.293524801133767
19.0;-0.13268692668812637;-0.18421719512589482;-13.367612401621857
20.0;-0.09692258463255625;-0.14667310329789848;-13.438236812036978
21.0;-0.0548950432413141;-0.11701127606157882;-13.507276631056806
22.0;-0.02140888790791027;-0.08012267896630071;-13.57507574851924
23.0;0.016633174098147303;-0.04806802436235137;-13.642729593772481
23.9;0.07554435614607102;-0.0369530404858028;-13.711103322680376
24.0;0.08897951164914357;-0.03997022791156566;-13.72149241899819
24.058;0.09455892926198053;-0.040425195287779624;-13.726531506010392
24.736842105263158;0.6827143987399268;-0.05902761759173102;-14.323702793293394
25.0;0.7314218207069557;-0.06827655546557485;-14.363925698212343
26.0;0.8800302716192913;-0.0783839846011801;-14.505505835604822
27.0;0.8595267662822272;-0.05127356457866459;-14.50834878328518
28.0;0.9144119157933074;-0.053314443637512775;-14.560066004989013
29.0;0.9164883776464514;-0.050998949040566004;-14.560137282389435
30.0;0.9415992119960025;-0.052058138960633896;-14.581487351344165
30.485;0.9380136240071955;-0.04990846800589048;-14.578247909868567
31.0;0.933154242804093;-0.04727386686075908;-14.573959180238326
32.0;1.0498029991635425;-0.058934101945798886;-14.67960617065804
33.0;1.0597687101308728;-0.041146345021177116;-14.705617949233153
34.0;1.0822287380491893;-0.04879389189996711;-14.71631309326173
35.0;1.151713090365034;-0.04933795963636603;-14.78613471702331
36.0;1.159104059957818;-0.04463741581468545;-14.794260510427065
37.0;1.1716531063002864;-0.04751164205132378;-14.80069456632228
38.0;1.186629620055776;-0.0514408689060831;-14.808642402027306
39.0;1.235656683534047;-0.04660087059399916;-14.861469608828227
40.0;1.2638923244648703;-0.03387338745826609;-14.901559353365045
41.0;1.2823321914698191;-0.03463242045502785;-14.916589654327309
42.0;1.2759200156959005;-0.03832784010997914;-14.90355985657173
43.0;1.262887479217027;-0.04389121956250034;-14.881504705610501
44.0;1.339894828913064;-0.04050695593931189;-14.962207985378775
45.0;1.363263983845772;-0.04438392125926322;-14.978436106047466
46.0;1.3385244664174314;-0.03549372655352468;-14.960072467089244
47.0;1.3595902121399257;-0.03449395871641266;-14.97976152592978
48.0;1.3802762261497197;-0.03684295908084832;-14.996183401470297
49.0;1.431173234291883;-0.025548939627555618;-15.057059840645229
50.0;1.5305400959987279;-0.03949097267275324;-15.143632091552872
51.0;1.4324731691429298;-0.031027543961113638;-15.047983988950731
52.0;1.4531314185649185;-0.02452493598414156;-15.072664727266913
53.0;1.501447937129459;-0.01645799587979938;-15.126863982365398
54.0;1.5508906842286905;-0.03067438134463714;-15.163443620252858
55.0;1.5590215374528322;-0.0250588423583059;-15.173186642054906
56.0;1.5298616811332135;-0.02541280513759706;-15.140403773772771
57.0;1.4633723298328996;-0.024525800440018553;-15.073218842785462
58.0;1.5377833139289854;-0.020139351268965263;-15.148043301173022
59.0;1.568225955644289;-0.017096765932102215;-15.180186959849305
60.0;1.5947357529055985;-0.018778902387319073;-15.204105096228055
61.0;1.5726800407499928;-0.013958108473415365;-15.184802010988781
62.0;1.620762749897454;-0.023789096469934705;-15.221718176250073
63.0;1.6050987897434612;-0.0193860745490635;-15.207093937155726
64.0;1.6186753905974425;-0.02426501016190767;-15.213323008735157
65.0;1.600241182270949;-0.0189219043597013;-15.200144597536196
66.0;1.6288331212093599;-0.014300028024951523;-15.22895476080616
67.0;1.6709225768092049;-0.014029744040964139;-15.269774923735072
68.0;1.6691259447725852;-0.01848289212981658;-15.262268305063618
69.0;1.6353517476157036;-0.009600963765444661;-15.234371685947888
70.0;1.6986735603517227;-0.018077925304612746;-15.290272533398927
71.0;1.7165004733592644;-0.02423511829244445;-15.30301435148558
72.0;1.551152470062325;-0.005119548065675133;-15.147398260863367
73.0;1.7637166056144016;-0.015071098208228391;-15.350501931955185
74.0;1.706725049167754;-0.004853365407516467;-15.29712139497124
75.0;1.7663707918147165;-0.013825005354994297;-15.351764490132144
76.0;1.7098025033686457;-0.006603105835394629;-15.29610306874513
77.0;1.7246642252034354;-0.01185550106400301;-15.306136648510826
78.0;1.8515874874071137;-0.0049361750654088495;-15.438063721722429
79.0;1.8232866538879196;-0.008181677709902375;-15.40487026980076
80.0;1.7971418282990732;-0.00778749115135188;-15.37612087382966
81.0;1.8064158290484134;-0.010315917200193894;-15.382755022561959
82.0;1.900598616252627;-0.01640299061219792;-15.470169717021761
83.0;1.7629081727560134;-0.0006805036537967864;-15.346397796007311
84.0;1.6760689801613353;0.003505848653687503;-15.25750403990217
85.0;1.878566889458589;0.0008243652787285492;-15.456046531339904
86.0;1.8019951745302811;0.007544830822035493;-15.384285038357032
87.0;1.7701081338302538;0.0013988569249600929;-15.341693274239027
88.0;1.6695599769270262;0.00841671208661388;-15.245227619274424
89.0;1.8068669322225004;-0.0037176618918060306;-15.377353050594804
90.0;1.3942811059350617;0.0005991087498038453;-14.962030815669607
91.0;1.6242601980242117;-0.009102319870445129;-15.186563038441195
92.0;1.253091849641595;0.0012741762337163099;-14.818936164038925
93.0;1.5590021694104528;-0.010072714269813234;-15.116877472691131
94.0;1.9389813823092574;0.005831586648828498;-15.511625158317804
95.0;1.7113096979028568;0.0008661727602755745;-15.269772000692813
96.0;2.1262517745166263;-0.02230314444608483;-15.674771360315917
97.0;1.9708859737209563;0.007219464306653243;-15.536166719294721
